id,time,doppler_frequency,weight,IR_Sensor,label
87e1edb0-f1ce-48af-b79d-7844427baf9c,6:20:13,102.7,75.24,101,0
5b174bee-0f6f-4767-adc4-a869f21c3b3d,15:51:59,107.61,70.26,89,0
923ea99e-74b8-4ad2-88db-03f112fb139d,15:21:04,100.99,73.38,223,0
c49fe2e1-c20c-4457-abbf-39490ccea4f6,12:33:55,105.95,77.89,64,0
49171217-57a9-48e6-86ef-dd45873f70ac,8:07:46,89.35,71.47,164,0
5cfd855c-86e9-4e6a-89fe-7adabe04243e,23:54:55,105.38,74.72,13,1
ac845a19-b37d-4d6b-b9d1-67040987ddcf,11:10:14,94.26,63.88,110,0
d966519e-047a-413b-9ef4-50036b227639,16:23:18,102.6,59.14,13,1
b2f0f47f-6280-4f30-8076-4bc3cf1dc359,5:52:29,107.38,78.22,163,0
4b6474fd-ebb5-4657-a01f-fb69eddbd515,0:42:18,111.73,68.41,51,0
b9bbc6fa-9b84-4f49-84dd-c7805896fbbe,7:20:09,106.81,81.78,104,1
1ce4fa96-2b07-4829-9c09-c29ce02cd5de,19:04:09,97.49,69.21,108,0
6450a5cc-f442-414c-8a37-18853ad1e933,0:08:57,104.71,75.28,204,0
5a764b53-e9bf-4312-ba30-a93a04e069b2,19:46:00,104.23,79.97,206,0
e96b84d7-e1f1-4880-9b1e-662c411ca529,21:45:05,94.17,79.12,184,1
423a00f6-4f3c-4672-b027-ca3130271d31,17:51:44,102.04,80.98,0,1
f182decd-aa0b-42cb-9aa2-11bc27dc4b20,4:28:56,85.33,82.31,120,1
d52d11fd-7cef-4ee3-b709-5f5bd755f12b,18:15:14,96.66,76.01,161,1
d08b7eaf-6261-4e5e-ab30-6ff267914769,6:03:34,89.57,78.29,172,0
f758d58c-891a-41ba-829f-06d2676ee88d,2:16:50,85.64,73.86,153,0
7636785b-0723-4883-b1b0-c907580edccb,11:24:49,99.14,71.56,58,1
8f5c0a2a-f8e8-49cf-92a0-e0f8ddafd7b2,21:07:18,98.53,78.35,94,0
0c26cbb8-5e0e-49c5-b99c-fa7a7f5bbf1b,4:59:00,99.87,78.74,253,0
3ff26a4d-ec64-48e1-96b1-335e961f9898,2:02:52,106.43,75.83,100,1
056a21ab-6fd8-46f1-99ed-9fca8e8860de,11:32:10,96.98,68.83,118,1
76bfbdca-1210-4adb-a7b6-42a5ac74eb27,3:55:29,103.05,71.93,107,0
160f0665-a2a4-4030-bc71-35890224a74e,15:58:15,97.2,84.94,97,0
540771e8-e902-4e45-b80f-e37d645c0144,22:22:20,98.69,69.5,83,1
af41eae5-5986-4779-bca1-564d247214f4,3:06:18,104.89,84.11,173,1
f92b2999-b78f-429a-a32b-17fd8e3e766e,4:42:00,99.72,70.88,125,1
a5e290b9-cd89-499a-9bcb-d3ef26c3aaa7,14:56:22,103.29,78.23,245,0
b4db3f22-4898-42de-84ae-857f80b4f772,6:39:55,105.83,76.32,92,0
4b41d808-b9ec-4de6-a229-e51de197b446,21:18:41,107.28,74.88,191,1
372d1f83-f577-4850-a46b-3ba4c028b5f3,2:35:44,99.59,76.38,55,1
5f699907-5ed9-4755-9caf-e87986d1db3d,15:19:40,105.01,75.38,119,0
1c98fdfd-1c39-41b1-9773-b28c4daed90f,13:57:04,87.42,67.24,196,1
3a59c20d-1695-4121-9208-2bacf47f879d,1:24:56,108.54,75.95,56,0
8300c4ae-15ee-4ae1-86bf-8974ee0f1d4c,1:31:06,98.83,79.17,121,0
cb9dfe85-f454-4e37-aa1d-2f987dee6f24,7:48:53,86.17,77.72,126,1
b25244f5-f306-482e-98b2-3c6a0c5c52cb,13:18:29,99.77,73.67,36,0
5f7fb03f-afdc-4599-a14e-4a4494e9a714,11:20:03,102.19,72.36,124,1
917ba91c-a328-4d6b-a764-3ff8aeae90d3,0:35:16,99.99,66.86,209,1
0718d60f-24cf-49a9-a648-59c97ad53d6f,19:52:31,94.24,80.05,103,0
5ad011f3-c30a-4741-87dc-79f72a64135d,5:42:23,107.42,69.09,53,1
7fc3db02-ee7a-4a7a-985a-be25696c1f37,14:44:34,106.16,85.45,28,0
097ba041-5f6c-401e-97de-40db3ec7ad15,22:37:29,95.19,64.26,147,0
eb9fc674-9ad4-4db2-95bb-63f575d05cb3,15:28:15,102.61,73.37,185,0
8493173b-034f-4f34-882b-c80901efa821,9:11:47,92.16,73.11,219,1
f1f75ff0-ead2-42ec-acd9-711049d41c1c,20:47:55,90.75,76.67,81,1
294cf2b6-20a9-462c-a469-31fb33f8328f,23:17:24,96.98,69.25,193,0
b514b4e0-d088-45df-9f63-1b258330031d,21:07:11,101.43,75.27,119,0
d708d5cb-4b98-47ce-a21c-c63e65b685ac,2:40:15,97.89,74.12,210,0
488b98c6-346b-45d0-84f2-e1c57c9f29ae,4:06:58,104.9,70.94,139,0
f70373d9-13dc-44a8-aa8a-74a4c800a921,17:07:06,95.64,71.27,61,0
c0ea4797-13a3-4758-ac49-819c5b140b01,22:01:43,104.08,69.56,37,1
b47b511d-828d-4a2e-936a-24c6abb24ac7,7:29:35,103.27,81.04,80,0
5240cd64-9b6b-46e9-b18e-096b3a18accc,18:00:02,96.0,73.12,240,1
5ee9c36a-cfd5-45a1-a880-e9d292b3e939,10:09:54,109.13,75.01,80,1
10cb5dc0-32a0-4416-b0b6-221ba82b23f8,8:31:46,100.6,83.15,143,0
45742d3d-de1a-4d0c-900c-fca8858508f4,22:11:10,95.31,71.41,45,0
1b408aeb-88f0-483d-b6f1-1361d699ab4c,3:30:24,98.22,73.49,206,0
cab40e69-d273-4e5e-af1c-ac9a6e34c883,0:14:31,104.88,66.43,128,0
f43a558b-439a-4624-b320-fc0bb2b9da9a,14:05:56,89.02,86.36,6,0
4d4c0eb0-fbef-4e90-bf07-79ddccb49898,22:59:38,91.44,67.11,155,0
dbbe0fae-6512-4ad8-8652-1bda90fc67b3,22:41:17,88.18,69.09,173,0
4a4741d1-9356-40a4-b696-7351d43ac4e6,3:23:21,99.29,75.67,36,1
f38cef45-ab95-41cc-acce-fc5343a7b0f6,7:47:01,103.44,64.47,194,0
90c2937b-8bdc-4929-b52e-d8d4365a2b96,6:03:22,97.74,75.58,47,1
385094bb-0e63-4448-9627-36d255642ec9,23:22:26,107.08,72.4,189,1
98f2d40c-ed1f-466b-acc0-224a0c33d1de,4:16:32,105.93,78.57,135,0
ce567659-58e4-4941-b1c6-6a05b61f7ded,8:43:11,107.97,78.39,159,0
287bac36-5ff6-4900-b61a-e52926828c55,21:48:10,90.96,77.76,56,0
fe6c565c-b54f-4a28-a6bc-48dc9f266855,12:23:10,102.4,82.98,64,0
8efc951a-6487-4a8a-a69b-391f5445d555,19:55:53,100.89,81.99,95,1
1c4a9863-779b-406b-82bd-1154707d78bb,1:32:59,108.99,76.88,222,0
bcb980a3-4f72-42c4-b69b-41d679bf7e09,19:50:39,106.27,76.31,196,1
3ff5f62a-cd78-486b-aecf-be1ff1157bbd,9:52:41,98.96,71.36,106,1
9952ca1e-9807-47c6-b533-c63cbc689b09,10:22:20,84.66,78.5,211,0
8c8a5079-2d34-4fd1-8605-d80cc2dbeca9,5:18:20,96.19,72.13,153,1
0ad93063-3e26-4787-9af4-5a43c0bdbba4,8:10:39,100.39,85.56,228,0
b08edc30-22c1-421d-aacd-f9e14efb0104,1:25:11,104.28,72.58,197,0
e79e56f8-5d24-4912-ba6e-8b1e2e6a9263,21:14:07,102.95,73.16,155,1
02a0bfc6-34a9-412f-bf67-8d9529ef5dd3,19:15:34,100.38,65.71,21,0
d34c5695-f236-4f77-aa34-418f2781d5aa,22:09:36,108.27,78.56,144,0
82fe877f-b4d0-4199-aa99-3b8f99ceffc7,17:12:36,105.76,73.92,203,1
a7d8e4cd-28cc-4062-9565-d0d509edeeb1,19:28:05,101.7,73.94,114,0
3697ff79-37c8-4d8d-94e9-13952191eb12,22:44:03,89.83,82.78,218,1
e3dcb0a3-080e-4da9-a1d8-2681b719f326,2:41:49,98.66,72.61,174,0
849f8f10-9f3b-4dcd-a933-3977364f84b8,19:11:20,88.55,71.13,102,1
2cfed648-ada3-4f4f-8dc3-e81707d3dfa2,12:06:43,104.52,77.1,116,1
afeab825-be73-4c8d-9c4c-a7a108cb543e,5:29:32,105.93,76.85,133,0
874db2f2-fa15-4795-a944-0c00d9b987bb,1:39:50,96.91,71.24,2,0
40e13505-f909-4270-869c-ed3ebc9fc365,14:07:20,102.79,80.29,108,0
a20233cb-ce28-40ed-bad7-f34b1225b294,5:02:50,107.75,72.41,173,0
